cefrLevel,unitId,unitFocus,lessonId,lessonTitle,keyword,definition,definitionSource,gradedExampleSentence,exampleSource,imageBrief,generationBrief,generatedImage,imageState,reviewStatus,permanentAssetReference
"A1","a1d01","greetings, names, classroom instructions","a1d01l2","Vocabulary and Collocation: First Words and Classroom English","book","book is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""book"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show book clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: book in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","content-assets/word-images/book.jpg","PRESENT","TEMPORARY_UNREVIEWED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l2","Vocabulary and Collocation: First Words and Classroom English","page","page is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""page"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show page clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: page in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","content-assets/word-images/page.jpg","PRESENT","TEMPORARY_UNREVIEWED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l2","Vocabulary and Collocation: First Words and Classroom English","listen","listen is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""listen"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show listen clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: listen in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","panel:/keywords/listen.jpg","PRESENT","TEMPORARY_UNREVIEWED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l2","Vocabulary and Collocation: First Words and Classroom English","repeat","repeat is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""repeat"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show repeat clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: repeat in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","panel:/keywords/repeat.jpg","PRESENT","TEMPORARY_UNREVIEWED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l2","Vocabulary and Collocation: First Words and Classroom English","open","open is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""open"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show open clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: open in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l2","Vocabulary and Collocation: First Words and Classroom English","close","close is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""close"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show close clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: close in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l2","Vocabulary and Collocation: First Words and Classroom English","please","please is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""please"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show please clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: please in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l3","Listening and Pronunciation: First Words and Classroom English","teacher","teacher is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""teacher"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show teacher clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: teacher in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l3","Listening and Pronunciation: First Words and Classroom English","student","student is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""student"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show student clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: student in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l3","Listening and Pronunciation: First Words and Classroom English","book","book is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""book"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show book clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: book in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","content-assets/word-images/book.jpg","PRESENT","TEMPORARY_UNREVIEWED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l3","Listening and Pronunciation: First Words and Classroom English","page","page is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""page"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show page clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: page in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","content-assets/word-images/page.jpg","PRESENT","TEMPORARY_UNREVIEWED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l3","Listening and Pronunciation: First Words and Classroom English","listen","listen is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""listen"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show listen clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: listen in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","panel:/keywords/listen.jpg","PRESENT","TEMPORARY_UNREVIEWED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l3","Listening and Pronunciation: First Words and Classroom English","repeat","repeat is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""repeat"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show repeat clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: repeat in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","panel:/keywords/repeat.jpg","PRESENT","TEMPORARY_UNREVIEWED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l3","Listening and Pronunciation: First Words and Classroom English","open","open is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""open"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show open clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: open in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l3","Listening and Pronunciation: First Words and Classroom English","close","close is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""close"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show close clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: close in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l3","Listening and Pronunciation: First Words and Classroom English","please","please is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""please"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show please clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: please in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l3","Listening and Pronunciation: First Words and Classroom English","thank you","thank you is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""thank you"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show thank you clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: thank you in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l3","Listening and Pronunciation: First Words and Classroom English","hello","hello is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""hello"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show hello clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: hello in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l3","Listening and Pronunciation: First Words and Classroom English","good morning","good morning is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""good morning"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show good morning clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: good morning in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l4","Reading and Critical Thinking: First Words and Classroom English","page","page is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""page"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show page clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: page in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","content-assets/word-images/page.jpg","PRESENT","TEMPORARY_UNREVIEWED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l4","Reading and Critical Thinking: First Words and Classroom English","listen","listen is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""listen"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show listen clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: listen in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","panel:/keywords/listen.jpg","PRESENT","TEMPORARY_UNREVIEWED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l4","Reading and Critical Thinking: First Words and Classroom English","repeat","repeat is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""repeat"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show repeat clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: repeat in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","panel:/keywords/repeat.jpg","PRESENT","TEMPORARY_UNREVIEWED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l4","Reading and Critical Thinking: First Words and Classroom English","open","open is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""open"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show open clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: open in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l4","Reading and Critical Thinking: First Words and Classroom English","close","close is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""close"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show close clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: close in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l4","Reading and Critical Thinking: First Words and Classroom English","please","please is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""please"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show please clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: please in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l4","Reading and Critical Thinking: First Words and Classroom English","thank you","thank you is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""thank you"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show thank you clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: thank you in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l4","Reading and Critical Thinking: First Words and Classroom English","hello","hello is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""hello"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show hello clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: hello in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l4","Reading and Critical Thinking: First Words and Classroom English","good morning","good morning is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""good morning"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show good morning clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: good morning in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l4","Reading and Critical Thinking: First Words and Classroom English","name","name is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""name"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show name clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: name in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
"A1","a1d01","greetings, names, classroom instructions","a1d01l4","Reading and Critical Thinking: First Words and Classroom English","first name","first name is a useful word for greetings, names, classroom instructions. I can point to it, say it, and use it in a short sentence.","TEMPLATE_CEFR_STYLE","I use ""first name"" when I talk about greetings, names, classroom instructions.","TEMPLATE_CEFR_STYLE","Show first name clearly in a greetings, names, classroom instructions situation, with the object, action, or idea easy to identify without reading extra text.","Original IELPS image brief: first name in greetings, names, classroom instructions; clean educational composition; no brand marks; culturally neutral details; accessible contrast; no answer text in the image.","","MISSING","REVIEW_REQUIRED",""
